front,back,hint,publishedAt
"Falls ja","If so","","2021-01-27T08:14:09.658Z"
"pendler","commuter","","2021-02-04T12:01:01.971Z"
"stumm/sprachlos","mute","","2021-01-22T21:21:03.224Z"
"ausbreite","spread out","","2021-01-20T08:17:15.922Z"
"das floß","the raft","","2021-01-21T18:04:35.080Z"
"trauert / trauern","mourns","","2021-02-14T15:09:42.349Z"
"Stroh","straw","","2021-04-29T10:30:19.359Z"
"Schlei","Loop","","2021-02-04T12:05:54.791Z"
"wahrscheinlich / vermutlich","probably","","2021-04-29T07:58:12.849Z"
"drang / dringend","urge / urgent","","2021-04-29T01:42:00.517Z"
"taub","deaf","Bist du taub?","2021-04-28T23:06:31.017Z"
"kümmere","take care","","2021-04-28T21:40:40.802Z"
"Geheimdienst","intelligence service / secret service","","2021-04-30T21:51:33.532Z"
"Gehirn","brain","","2021-04-30T21:50:40.696Z"
"der Draht","the wire","","2021-04-15T06:47:39.058Z"
"Trophäe","trophy","","2021-05-01T07:16:00.816Z"
"Inhalt","content","","2021-05-01T06:38:42.646Z"
"Basar","bazaar","","2021-04-30T13:14:06.739Z"
"Hagel","Hail","","2021-04-08T06:20:15.167Z"
"Hageln","Hail storming","","2021-04-08T06:23:50.858Z"
"Ellbogen","elbow","","2021-04-30T13:24:29.802Z"
"Zuschauer","spectator","","2021-04-30T13:12:46.163Z"
"packen","pack","","2021-04-30T12:40:12.015Z"
"durchschaubar/durchsichtig","see-through / see-through","Die Absichten des Politikers sind nicht durchschaubar.","2021-04-30T09:30:48.427Z"
"Weiblichkeit","femininity","","2021-04-29T12:29:26.726Z"
"der ruhige Mensch","the quiet person","In der Gruppe ist sie die ruhige Mensch, die alle beruhigt.","2021-02-13T19:18:29.916Z"
"geheimlich","secret","Er hatte ein geheimliches Treffen mit seinen Freunden.","2021-04-29T12:10:58.151Z"
"Reiterhof","Riding stables","","2021-04-29T10:14:19.475Z"
"Achterbahn","Roller coaster","","2021-04-29T08:22:26.579Z"
"Kurzabo","Short subscription","","2021-04-29T06:01:43.970Z"
"die Sauerstoffflasche","the oxygen cylinder","","2021-03-01T08:17:33.568Z"
"umgebung","environment/vicinity","","2021-04-15T06:26:59.643Z"
"dagegen","against","","2021-04-08T06:32:27.911Z"
"kleinigkeit","smallness/ small things","","2021-04-08T05:54:13.258Z"
"beenden / schlussmachen","to end/ breakup","","2021-04-08T05:53:56.936Z"
"reibung/Friktion","rub/friction","","2021-02-27T11:48:45.043Z"
"zuruk ziehen","return back","","2021-02-24T12:44:50.772Z"
"ohrläppchen","earlobe","","2021-02-27T11:52:17.973Z"
"waehrend","while","","2021-03-09T07:42:35.828Z"
"kokett / der Flirt","flirt","Sie war sehr kokett, als sie ihm zulächelte.","2021-02-05T14:17:42.209Z"
"das opfer","victim","","2021-02-14T18:54:21.784Z"
"Bedrohung / drohung","threat","","2021-02-16T11:17:10.483Z"
"pfütze","puddle/ pothole","","2021-02-26T15:19:37.304Z"
"wachhunde","watchdogs","","2021-03-06T08:39:58.775Z"
"Einheimische","Local people","","2021-02-23T10:27:25.401Z"
"geschwollen","swollen","","2021-02-26T07:21:55.102Z"
"Unterkunft","Accommodation","","2021-02-16T11:17:36.314Z"
"einfallsreich","resourceful","","2021-02-13T19:16:52.639Z"
"der Sauerstoff","the oxygen","","2021-03-01T07:57:19.846Z"
"das Kohlendioxid","the carbon dioxide","","2021-03-01T07:57:45.704Z"
"erstaunlich","amazing","","2021-02-25T14:24:58.618Z"
"der Wasserstoff","the hydrogen","","2021-03-01T07:57:01.145Z"
"zufrieden/ befriedigt","satisfied","","2021-01-27T08:13:55.027Z"
"wiederherstellen","restore","","2021-01-31T00:16:53.863Z"
"Kumpel","Buddy/dude","","2021-02-27T13:53:47.770Z"
"todkrank","terminally ill","","2021-02-27T21:27:55.364Z"
"hitze","heat","","2021-02-27T13:56:37.954Z"
"das risiko","the risk","","2021-02-27T21:47:30.094Z"
"nachschlagewerk","reference book","","2021-02-18T06:30:40.322Z"
"akkumulieren","accumulate","","2021-02-27T10:09:21.123Z"
"der Eisprung/ die Ovulation","ovulation","","2021-02-27T09:50:46.421Z"
"winzig","tiny","","2021-02-25T14:21:31.569Z"
"die seele","the soul","","2021-02-23T21:20:21.801Z"
"fast","almost/nearly","","2021-03-01T14:21:18.076Z"
"Bühne","stage","","2021-02-11T15:40:32.492Z"
"ziemlich","quite","","2021-01-31T02:12:50.175Z"
"anleitungs","instructions","","2021-02-12T06:35:39.756Z"
"beteiligt","involved","","2021-02-01T10:42:41.856Z"
"insbesondere","in particular","Sie mag Blumen, insbesondere Rosen.","2021-01-18T06:24:09.977Z"
"das Beten","praying","","2021-02-08T21:05:00.878Z"
"Entgeld","Fee/payment","","2021-02-12T14:48:00.988Z"
"durchschnitt / durchschnittlich","average (n) / average (adje)","","2021-02-11T15:01:09.790Z"
"sogar mehr","even more","","2021-02-10T13:15:23.441Z"
"das Konzentrationslager","the concentration camp","","2021-02-12T09:36:21.599Z"
"arbeitsfähig","able to work","","2021-02-12T09:13:14.195Z"
"unterdurchschnittlich","below average","","2021-02-11T15:02:58.464Z"
"die Übertragung","transmission","","2021-02-08T10:04:19.809Z"
"Aufmerksamkeit","attention","","2021-02-06T17:36:44.440Z"
"befriedigend","satisfactory","","2021-02-08T09:28:34.552Z"
"pfanne","pan","","2021-02-07T14:15:10.825Z"
"Flut","Flood","","2021-02-10T13:46:33.211Z"
"der Eigentümer","the owner","","2021-02-10T10:51:45.777Z"
"Schutzhülle","Protective cover","","2021-01-30T23:25:46.831Z"
"Hersteller","Manufacturer","","2021-02-28T21:40:38.053Z"
"soweit / bisher","so far","","2021-02-28T07:51:28.128Z"
"promi / prominente","celebrity","","2021-02-28T17:41:01.832Z"
"sowas /etwas","something","","2021-02-13T18:27:06.597Z"
"Gelegenheit","opportunity","","2021-02-07T00:24:23.619Z"
"leeren","empty","","2021-02-27T10:02:15.466Z"
"unwetter","severe weather/storm","","2021-02-01T22:08:02.905Z"
"erstaunt","amazed","","2021-02-01T15:17:53.350Z"
"Betrieb","Operation/business","","2021-01-20T08:09:30.486Z"
"Dunkelheit","Darkness","","2021-02-01T22:05:22.524Z"
"heruntergelassen","lowered","","2021-01-26T08:16:37.812Z"
"aufstehen","get up","","2021-02-08T09:35:39.267Z"
"die Waffe","the weapon","","2021-02-12T09:06:40.484Z"
"der Schmetterling","the butterfly","Siehst du den schönen Schmetterling?","2021-02-10T10:53:59.990Z"
"die Türklingel","the doorbell","","2021-02-13T19:10:56.148Z"
"Verlegenheit/peinlichkeit","embarrassment","","2021-01-27T15:11:09.029Z"
"der Wert","the value","","2021-02-10T10:55:18.906Z"
"die besichtigung / Besuch","visit","","2021-02-07T14:10:58.530Z"
"warfen / werfen","threw/ throw","","2021-02-01T22:10:14.152Z"
"eineiige / identisch","identical","","2021-01-20T14:12:55.298Z"
"Grausam","Cruel","","2021-02-24T13:08:46.105Z"
"verklebt","glued","","2021-02-04T20:03:44.726Z"
"Das Thema","The topic","","2021-02-10T10:58:57.963Z"
"zudecken","cover up","Er hat sich bis unter das Kinn zugedeckt.","2021-01-18T06:23:44.300Z"
"werden","become","Die Blätter werden bunt.","2021-01-16T15:36:10.470Z"
"klettern","climb","","2021-02-07T23:43:53.113Z"
"Behandlung","treatment","","2021-02-05T14:13:35.964Z"
"bußgeld","fine","","2021-02-23T09:41:13.596Z"
"Bogenschießen","Archery","","2021-02-22T14:37:54.400Z"
"Auftauchen","To appear/ pop up","","2021-02-22T14:50:40.023Z"
"sozusagen","so to speak","","2021-02-22T14:42:59.086Z"
"wasserdicht","waterproof","","2021-02-22T14:22:23.882Z"
"kreisrund","circular","","2021-02-22T14:07:48.881Z"
"behörde / Autorität","authority","","2021-02-18T13:17:41.127Z"
"sanft","gently","","2021-01-29T06:42:38.934Z"
"ungefähr / etwa / circa / rund","approximately / approximately / approximately / round","","2021-02-04T06:56:39.654Z"
"verletzung","injury","","2021-01-27T19:18:50.269Z"
"krieger","warrior","","2021-02-13T22:42:20.582Z"
"feucht/Nass","wet","","2021-01-26T07:49:59.613Z"
"Fliesen","Tiles","","2021-02-06T17:31:01.207Z"
"flauschiger","fluffier","","2021-02-10T08:24:43.657Z"
"krass geil","awesome","","2021-01-29T07:57:14.492Z"
"machtübernahme","takeover","","2021-02-12T09:42:38.623Z"
"Nähmaschine","Sewing machine","","2021-02-24T13:12:32.375Z"
"unfair","unfair","","2021-02-24T13:09:43.601Z"
"stundenkilometer","hourly kilometers","","2021-02-13T18:11:43.934Z"
"einziehen","move in","","2021-02-07T14:12:58.523Z"
"der stil","the style","","2021-02-11T08:02:54.168Z"
"purpur","purple","","2021-02-10T08:34:25.752Z"
"der Schwager","the brother-in-law","","2021-02-07T23:06:40.282Z"
"die Amtssprache","the official language","","2021-02-07T23:53:02.141Z"
"die Wolke","the cloud","","2021-02-08T09:24:48.615Z"
"überholen","overtake","","2021-02-08T10:10:13.045Z"
"betruen","cheat","","2021-02-04T20:23:59.400Z"
"Ansprechpartner","Contact person","","2021-02-07T13:48:10.763Z"
"Werkzeug","Tool","","2021-02-07T14:17:34.068Z"
"spritzen","spray/splash","","2021-01-28T17:51:52.186Z"
"kurven","curves","","2021-01-28T08:45:45.767Z"
"umziehen","move","","2021-01-26T20:53:00.151Z"
"studiengebühren","study fees","","2021-02-07T13:53:20.006Z"
"Flaustig","Fluffy","","2021-02-01T15:23:52.724Z"
"Kindheit","Childhood","","2021-02-07T14:07:32.153Z"
"Erfolgsmodell","Success model","","2021-02-07T14:01:43.677Z"
"plantschen","splash","","2021-02-04T14:03:12.637Z"
"lebendiger","more alive/ lively","","2021-02-04T06:10:31.196Z"
"begegnen","to encounter","","2021-01-30T16:54:02.288Z"
"pennen/ Schlafen","sleap","","2021-02-04T20:53:18.291Z"
"wut","anger","","2021-02-06T15:18:20.738Z"
"verzeihnung/entschuldigung","pardon / sorry","","2021-01-31T21:26:40.178Z"
"aufhören","stop","","2021-02-01T09:50:17.589Z"
"schwach","weak","","2021-02-03T08:06:58.175Z"
"vorsicht","caution/careful","","2021-01-27T18:57:00.384Z"
"putzig","cute","","2021-01-19T22:06:26.867Z"
"Erregung","arousal","","2021-01-26T14:12:14.756Z"
"blitzblank","sparkling clean","","2021-01-28T13:43:39.738Z"
"Ultraschalluntersuchung","Ultrasound examination","","2021-01-31T02:40:24.224Z"
"Daneben","Next to it / besides","","2021-02-01T22:01:53.687Z"
"Zehenspitzen","Toe tips","","2021-01-31T05:31:10.153Z"
"die höfliche","the polite one","","2021-01-20T14:43:52.240Z"
"erhöht","increased","","2021-01-19T12:50:02.244Z"
"ablenken","distract","","2021-01-26T11:23:09.905Z"
"Befriedigung","satisfaction","","2021-01-28T14:18:34.327Z"
"gierig","greedy","","2021-01-27T15:17:23.740Z"
"drehen","turn/rotate","","2021-01-27T13:50:38.882Z"
"knopf","button","","2021-01-27T07:38:58.415Z"
"blasen","blow","","2021-01-27T07:40:53.180Z"
"schlimmer","worse","","2021-01-26T21:05:04.709Z"
"bequem","convenient","","2021-01-20T13:57:42.409Z"
"Drehstuhl","Swivel chair","","2021-01-28T17:38:24.342Z"
"behaart","hairy","","2021-01-28T17:39:48.979Z"
"leise","quietly","","2021-01-27T12:38:01.442Z"
"bislang","so far","","2021-01-20T08:11:07.116Z"
"weich","soft","","2021-01-28T05:30:26.401Z"
"zärtlich","tender","","2021-01-27T07:51:12.394Z"
"die kerze","the candle","","2021-01-27T21:22:47.549Z"
"Die Unfähigkeit","The inability","","2021-01-22T10:20:06.358Z"
"das Glück","happiness","","2021-01-18T06:17:19.654Z"
"die Wüste ","the desert ","","2021-01-18T09:04:31.957Z"
"schoben","push","","2021-01-26T11:37:42.182Z"
"Verabredung","Appointment","","2021-01-20T14:00:31.640Z"
"spüren","feel/sense","","2021-01-26T14:49:48.101Z"
"oberkörper","upper body","","2021-01-26T11:36:53.175Z"
"abtrocknen","to dry up","","2021-01-18T07:55:54.324Z"
"finster/dunkel","dark","","2021-01-21T21:31:21.146Z"
"der Ehrgeiz","the ambition","","2021-01-17T09:25:14.080Z"
"spitze","pointed/top","","2021-01-26T10:09:43.903Z"
"trotzem","despite/nevertheless ","","2021-01-21T16:06:02.671Z"
"Fähigkeiten","Skills","","2021-01-20T14:48:46.206Z"
"beschäftigt / angestelt","employed","","2021-01-20T14:42:24.795Z"
"vermietet","rented","","2021-01-20T14:40:18.061Z"
"solche","such","","2021-01-20T14:33:02.544Z"
"Inzewischen","In between","","2021-01-20T14:34:52.887Z"
"Ähnlichkeiten","Similarities","","2021-01-20T14:32:33.204Z"
"geärgert/genervt","annoyed / annoyed","","2021-01-20T14:15:56.394Z"
"Umgezogen","Moved","","2021-01-20T13:59:46.067Z"
"Übrings","by the way","","2021-02-12T07:01:53.199Z"
"ersetzen","replace","","2021-02-11T15:10:12.074Z"
"einsetzen","deploy","","2021-02-11T21:40:22.051Z"
"die Schwerindustrie","heavy industry","","2021-02-12T09:16:02.344Z"
"unfassbar","incredible / unglaublich","","2021-02-12T07:12:32.322Z"
"selten","Rare","Ich gehe selten ins Kino.","2021-02-10T10:53:38.666Z"
"Ziel","target","","2021-02-23T21:22:08.368Z"
"zeitschriften","magazines","","2021-02-11T08:18:51.580Z"
"erröten","blush","","2021-02-10T08:29:13.065Z"
"zirkuszelt","circus tent","","2021-02-10T08:25:25.208Z"
"Friedlich","Peaceful","","2021-02-23T11:22:18.356Z"
"peinlich ","embarrassing (beschämend)","","2021-02-16T06:54:47.106Z"
"die ernte","harvest","","2021-02-14T18:24:57.318Z"
"unverantwortlich","irresponsible","","2021-02-13T19:18:44.160Z"
"prachtbau","magnificent building","","2021-02-22T14:31:11.420Z"
"der Kalkstein","the limestone","","2021-02-22T14:21:43.115Z"
"Die Kuppel","The dome","","2021-02-22T14:08:20.440Z"
"Fang","Catch","","2021-02-14T18:51:28.795Z"
"schlauch / Tube","inner tube / tube","","2021-02-01T10:26:34.485Z"
"behüten","protect (schützen)","","2021-02-14T18:43:31.022Z"
"untereinander","among themselves","","2021-01-25T10:18:40.023Z"
"charmant","charming","","2021-02-13T19:18:05.071Z"
"schlanke","slim","","2021-01-31T02:14:01.760Z"
"anfassen / berühren","touch / touch","","2021-01-27T13:59:16.507Z"
"streichen","to paint","","2021-02-07T14:12:17.228Z"
"der Gefrierschrank","the freezer","","2021-02-13T19:10:50.081Z"
"vogeljagd","bird hunting","","2021-02-18T06:31:51.968Z"
"sparen","save","","2021-02-18T06:28:13.428Z"
"der Vogel","the bird","","2021-02-22T11:48:13.489Z"
"Höchstleistungen","Top performance","","2021-02-18T06:31:17.963Z"
"Hocke","Squat","","2021-02-09T09:09:31.392Z"
"Dienst","Service","","2021-02-07T13:48:25.728Z"
"verdiene","earn","","2021-02-07T13:54:25.341Z"
"Säugetier","Mammal","","2021-02-18T06:30:07.118Z"
"verhaften","arrest","","2021-02-13T21:40:55.089Z"
"Fehlgeburt","Miscarriage","","2021-02-15T09:05:33.091Z"
"beratung / Rat / vorschlag","advise","","2021-02-16T09:17:16.864Z"
"unreif","immature","","2021-02-13T19:17:49.258Z"
"herrlich / wunderbar/ wundervol/ großertig","wonderful/splendid","","2021-02-16T08:51:47.893Z"
"stur / eigensinnig","stubborn","","2021-02-13T19:16:58.755Z"
"die Arbeitsatmosphäre","the working atmosphere","","2021-02-08T09:34:53.340Z"
"gemein","mean","","2021-02-14T11:06:51.292Z"
"Sprudel wasser","sparkling water","","2021-02-13T19:14:31.547Z"
"kloster","monastery","","2021-02-08T17:01:56.129Z"
"die starke","the strong","","2021-02-07T23:38:24.610Z"
"der Stadtrundgang","the city tour","","2021-02-08T10:13:32.121Z"
"die Einkaufsstraße","the shopping street","","2021-02-08T10:12:24.069Z"
"faszinierend","fascinating","","2021-02-08T09:44:19.537Z"
"wenigstens","at least","","2021-02-05T14:19:07.625Z"
"jagd","hunt","","2021-02-18T07:51:18.935Z"
"bündnis","alliance","","2021-02-14T18:19:11.330Z"
"Zustand","Status/condition","","2021-02-07T14:13:39.787Z"
"Rettungsweste","Life jacket","","2021-02-06T17:29:36.612Z"
"Schwamm","Sponge","","2021-02-07T14:14:55.216Z"
"diebstahl","theft","","2021-02-06T15:16:51.402Z"
"Eimer","Bucket","","2021-02-07T14:14:29.003Z"
"durchführen","carry out","","2021-02-05T14:14:00.633Z"
"der Bauernhof","the farm","","2021-02-07T14:04:45.822Z"
"ermöglichen","enable","","2021-01-31T00:40:03.085Z"
"lieber mögen","prefer","","2021-02-01T22:01:07.074Z"
"inakzeptabel/unangenehmbar","unacceptable / unacceptable","","2021-02-06T22:50:50.949Z"
"erlösung","redemption/salvation","","2021-02-01T15:21:26.399Z"
"künstler","artist","","2021-02-14T18:00:29.144Z"
"Fortschritt / Progress","progress","","2021-02-01T09:48:44.138Z"
"denen","those","","2021-02-02T11:41:01.324Z"
"glaub mir","believe me","","2021-02-14T17:58:27.265Z"
"spreiz","spread","","2021-01-30T23:28:07.390Z"
"das Gespräch","the conversation","Das war ein interessantes Gespräch.","2021-02-13T19:03:34.180Z"
"klug / schlau","Smart","Das Kind ist sehr klug.","2021-02-13T19:18:49.565Z"
"notwendig","necessary (nötig)","","2021-02-14T15:12:59.906Z"
"entgegen","opposite","","2021-02-01T10:03:57.353Z"
"verantwortlich","responsible","","2021-02-13T19:19:14.930Z"
"deprimiert","depressed","","2021-02-13T19:17:58.601Z"
"Flucht","Escape","","2021-02-16T11:15:40.635Z"
"Satt","Fed up","Bist du schon satt?","2021-02-13T19:13:00.576Z"
"erscheinungsbild / Aussehen","appearance / appearance","","2021-02-01T10:44:29.338Z"
"verschuldet","indebted","","2021-02-12T09:12:12.130Z"
"schrauben","screw","","2021-02-07T14:15:49.008Z"
"ängstliche Person","anxious person","","2021-02-13T19:19:22.097Z"
"einbrecher","burglar","","2021-01-23T15:38:28.936Z"
"darf","may","darf ich es haben?","2021-02-14T17:55:48.860Z"
"süchtig","addicted","","2021-02-10T13:32:52.420Z"
"die Botschaft","the message / the embassy","Sie hinterlassen uns eine Botschaft.","2021-02-13T19:09:40.777Z"
"die Halle","the hall","","2021-02-13T19:12:02.278Z"
"Bordkarte","Boarding pass","Ihre Bordkarte, bitte.","2021-02-13T19:10:01.721Z"
"Frieden","Peace","","2021-02-14T13:44:13.199Z"
"launisch","moody","Sie ist immer so launisch.","2021-02-13T19:17:13.737Z"
"abhängig","dependent","Er ist abhängig vom Internet.","2021-02-13T19:18:24.462Z"
"extrovertiert","extroverted","","2021-02-13T19:19:34.225Z"
"klebrig","sticky","","2021-01-28T08:46:39.341Z"
"einflussen / Einwirkung","influence / impact","","2021-02-12T16:52:30.897Z"
"spinnen","to be crazy","","2021-02-02T09:57:30.136Z"
"dehnbar","stretchy","","2021-01-30T23:19:49.993Z"
"verschwinde","disappear","","2021-01-31T21:02:00.669Z"
"gucken","look","","2021-02-03T07:56:56.615Z"
"knappen/enge","tight","","2021-01-29T06:41:10.335Z"
"lecken","lick/suck","","2021-01-26T10:11:14.792Z"
"Bestrafung","punishment","","2021-01-28T08:56:49.890Z"
"verdeckt","covered","","2021-02-01T10:19:31.987Z"
"Irrglaube","Missbelief","","2021-01-31T00:11:28.912Z"
"schmal","narrow","","2021-01-30T23:32:29.625Z"
"der Gründer","the founder","","2021-02-02T08:19:03.455Z"
"Eigentlich","Actually","","2021-02-01T22:00:12.857Z"
"blöße","bare/uncovered/exposed/nacked","","2021-01-29T08:18:00.480Z"
"laune","mood","Gute Laune,  schlechte laune","2021-02-14T11:47:31.779Z"
"der Senf","the mustard","","2021-02-13T19:14:48.919Z"
"stilles Wasser","still water","","2021-02-13T19:14:46.452Z"
"der Löffel","the spoon","Ich esse am liebsten mit dem Löffel.","2021-02-13T19:04:30.739Z"
"die Gemeinschaft","the community","","2021-02-12T09:38:28.180Z"
"entstanden","emerged","","2021-02-04T06:11:32.573Z"
"fernüftig","long-distance","","2021-02-13T18:12:42.088Z"
"das Dorf","the village","Das Dorf liegt in der Nähe von Prag.","2021-02-13T19:12:19.266Z"
"ausgeben","output/spend","","2021-02-13T16:56:59.733Z"
"prost","cheers","","2021-02-13T19:04:10.830Z"
"schlupflicht","mandatory","","2021-02-07T13:56:39.504Z"
"albtraum","nightmare","","2021-02-13T19:37:46.439Z"
"Clever","Clever","","2021-02-13T19:19:59.159Z"
"kämpfen","fight","","2021-02-13T19:31:44.481Z"
"unehrlich","dishonest","","2021-02-13T19:19:02.805Z"
"attraktiv","attractive","Die Frau ist sehr attraktiv.","2021-02-13T19:19:54.243Z"
"introvertiert","introverted","","2021-02-13T19:19:51.443Z"
"unsicher","unsure","","2021-02-13T19:19:39.869Z"
"faul","lazy","Mein Mann ist total faul.","2021-02-13T19:18:19.801Z"
"kreativ","creative","","2021-02-13T19:18:31.660Z"
"Leidenschaft","Passion","","2021-02-08T21:05:58.036Z"
"kindisch","childish","","2021-02-13T19:18:47.437Z"
"unerfahren","inexperienced","","2021-02-11T14:54:38.916Z"
"rüstungsausgaben","military expenditure","","2021-02-12T09:17:16.747Z"
"abgemacht","agreed","","2021-02-12T11:51:44.875Z"
"üppig","lush/lavish","","2021-01-28T17:30:45.487Z"
"diskutieren","to discuss","","2021-01-31T21:16:09.317Z"
"voellig inakzeptable","completely unacceptable","","2021-01-31T21:23:51.707Z"
"anfangen","to begin","","2021-01-31T21:06:55.473Z"
"wütend","angry","","2021-01-31T20:57:11.386Z"
"Schnappschüsse","Snapshots","","2021-01-28T13:28:56.670Z"
"innerhalb","within","","2021-01-19T09:30:46.008Z"
"die Trauben","the grapes","","2021-02-13T19:15:06.568Z"
"der Rohstoff","the raw material","","2021-02-12T09:46:58.466Z"
"verfügung/ verfuegbar","available","","2021-02-08T16:48:00.309Z"
"Reich","rich","Meine Eltern sind reich.","2021-02-13T19:13:49.144Z"
"Sauer","sour","Warum bist du heute so sauer?","2021-02-13T19:13:42.391Z"
"Bitter","Bitter","Ich mag bittere Schokolade.","2021-02-13T19:13:35.502Z"
"Salzig","Salty","Die Suppe ist zu salzig.","2021-02-13T19:13:26.852Z"
"die Vorstadt","the suburb","Ich lebe in der Vorstadt.","2021-02-13T19:11:47.211Z"
"Die Mikrowelle","The microwave","","2021-02-13T19:11:16.039Z"
"das Salz","the salt","","2021-02-13T19:08:23.295Z"
"Durchsage","Announcement","","2021-02-13T18:26:01.742Z"
"die Eleganz","the elegance","","2021-02-13T19:04:07.969Z"
"schütteln/zittern/rütteln","shake / tremor / shake","","2021-02-10T13:37:48.645Z"
"die Stimme","the voice","Sie hat eine schöne Stimme.","2021-02-10T10:56:48.358Z"
"zeugnis","testimony","","2021-02-07T13:57:05.651Z"
"Bedeutung","importance","","2021-01-31T00:09:52.407Z"
"es hat keinen Sinn","it makes no sense","Es hat keinen Sinn, darüber zu diskutieren.","2021-02-10T10:53:44.382Z"
"Die explosion","The explosion","","2021-02-13T19:03:37.594Z"
"kräftig/Stark/fest","strong/vigorous/Powerful","","2021-01-27T15:43:01.028Z"
"tempo","pace","","2021-02-13T18:10:57.224Z"
"verbieten","to forbid","","2021-02-13T18:12:18.803Z"
"verschärfte","tightened","","2021-01-19T08:58:20.022Z"
"schimpfwörter","swear words","","2021-01-27T19:26:27.064Z"
"klatchen","clap","","2021-01-26T10:18:17.551Z"
"unbedingt","absolutely","","2021-01-20T14:03:24.410Z"
"Regierung","government","","2021-01-19T12:37:57.382Z"
"Zeitlupe","Slow motion","","2021-01-27T15:21:27.915Z"
"lenke","direct/steer","","2021-01-26T10:10:19.248Z"
"umrisse","outlines","","2021-01-26T08:15:54.060Z"
"schenkel","thigh","","2021-01-26T14:51:46.047Z"
"vergangenheit","past","","2021-01-22T10:21:23.961Z"
"Ausgangssperre","curfew","","2021-01-19T12:47:25.367Z"
"beeinflussen","influenced","","2021-02-11T15:20:20.423Z"
"bestellen","to order","","2021-02-13T18:58:38.195Z"
"tempolimit","speed limit","","2021-02-13T18:10:50.134Z"
"Schaffner","Conductor","","2021-02-13T18:21:39.225Z"
"zweikampf","duel","","2021-02-13T18:16:21.785Z"
"weder","neither","","2021-02-13T18:02:31.954Z"
"ließ","let","","2021-02-07T00:14:45.455Z"
"unverbindlich","non-binding","","2021-02-03T07:12:16.507Z"
"die Hoffnungslosigkeit","hopelessness","","2021-02-12T09:20:22.899Z"
"achten","watch out","","2021-02-12T14:45:04.605Z"
"Rüstungsindustrie","Defense industry","","2021-02-12T09:18:43.869Z"
"selbstbewusst","confident","","2021-02-11T14:52:46.357Z"
"Flüssigkeit","Liquid","","2021-02-11T15:41:41.576Z"
"im schnitt","on average","","2021-02-12T13:20:22.303Z"
"erwartet","expected","","2021-02-11T15:35:56.933Z"
"mächtig","powerful","","2021-02-12T12:32:05.082Z"
"bündel","bundle","","2021-02-12T11:42:19.412Z"
"Rüstungssektor","Arms sector","","2021-02-12T09:18:29.417Z"
"rüstungs","arms","","2021-02-12T09:17:50.795Z"
"lebensinhalt","life content","","2021-02-12T09:08:40.728Z"
"Waschlappen","Washcloths","","2021-02-12T07:00:51.496Z"
"wehrlos","defenseless","","2021-02-10T13:51:55.123Z"
"nachteile","disadvantages","","2021-02-12T06:44:56.159Z"
"vertrauensbasis","basis of trust","","2021-02-11T14:58:30.653Z"
"bestimmte","certain","","2021-02-11T08:22:08.680Z"
"unterhaltung","entertainment","","2021-02-07T13:48:54.006Z"
"Putzlappen","Cleaning rags","","2021-02-07T14:14:44.262Z"
"ungenügend","insufficient","","2021-02-08T09:27:54.576Z"
"der Marktschreier","the market screamer","","2021-02-11T08:07:12.827Z"
"mühe","effort/trouble","","2021-02-10T08:36:50.697Z"
"das hochhaus","the skyscraper","","2021-02-11T07:57:34.401Z"
"überflutet","flooded","","2021-02-10T13:46:11.400Z"
"verborgen / versteckt","hidden","","2021-01-30T23:32:54.981Z"
"herrlich/prächtig/großartig/schön","wonderful / concise / great / beautiful","","2021-02-10T13:18:43.738Z"
"die Distanz","the distance","Die Distanz zwischen beiden Punkten beträgt 200 m.","2021-02-10T10:54:18.951Z"
"Täglich","Every day","Ich putze mir täglich die Zähne.","2021-02-10T10:55:08.735Z"
"entfernt","away","","2021-02-01T22:00:35.823Z"
"Souviners","Souviners","","2021-02-07T14:05:15.297Z"
"Sicherheitsgurt","Seat belt","","2021-02-06T17:39:45.660Z"
"heilbar","curable","","2021-02-06T15:13:47.611Z"
"vorstellen","to introduce","","2021-02-06T10:00:34.617Z"
"allgemein","general","Ich trinke allgemein nur selten Kaffee.","2021-02-10T10:54:37.985Z"
"loben","praise","","2021-02-10T08:35:03.911Z"
"der Versuch","the attempt","Ein Versuch war es Wert.","2021-02-10T10:54:49.377Z"
"erwarten","expect","","2021-02-07T00:23:36.981Z"
"Umkleidekabine","Changing room","","2021-02-05T14:21:15.739Z"
"abwechselnd","alternately","","2021-01-30T08:05:02.340Z"
"fluchtfahrer","escape driver","","2021-02-04T20:57:13.976Z"
"beobachtung","observation","","2021-02-01T10:05:47.020Z"
"befruchtet","fertilized","","2021-01-31T02:49:53.769Z"
"der Flüchtling","the refugee","","2021-02-06T19:24:27.504Z"
"die Moschee","the mosque","","2021-02-10T10:59:04.088Z"
"die wohnlage","the residential area","","2021-02-01T22:12:11.578Z"
"Schrift","hand Writing","","2021-01-20T14:10:11.757Z"
"ärgere / Nerven","annoy","","2021-01-20T14:09:34.807Z"
"wichtig","important","","2021-01-20T14:25:32.815Z"
"verrückt / wahnsinnig / irre","crazy / insane","","2021-01-20T14:06:43.905Z"
"fühlen / spüren","feel","","2021-01-20T14:05:14.194Z"
"versprechen","promise","","2021-01-20T13:56:04.589Z"
"Basic","basic","","2021-02-10T10:57:20.650Z"
"Die Expertenrunde","The panel of experts","","2021-01-19T12:43:56.951Z"
